datestamp,name,date_value,code
1988-01-01,中国,312.35,CHN
1988-01-01,巴西,307.88,BRA
1988-01-01,印度,296.59,IND
1988-01-01,荷兰,262.3,NLD
1988-01-01,澳大利亚,236.16,AUS
1988-01-01,瑞士,215.54,CHE
1988-01-01,瑞典,206.69,SWE
1988-01-01,韩国,199.59,KOR
1988-01-01,墨西哥,181.61,MEX
1988-01-01,比利时,162.3,BEL
1988-01-01,阿根廷,126.89,ARG
1988-01-01,伊朗,123.06,IRN
1988-01-01,土耳其,90.88,TUR
1988-01-01,沙特阿拉伯,88.26,SAU
1989-01-01,美国,5641.58,USA
1989-01-01,日本,3109.46,JPN
1989-01-01,德国,1404.09,DEU
1989-01-01,法国,1016.74,FRA
1989-01-01,意大利,930.8,ITA
1989-01-01,英国,926.88,GBR
1989-01-01,加拿大,567.21,CAN
1989-01-01,俄罗斯,506.63,RUS
1989-01-01,西班牙,414.46,ESP
1989-01-01,巴西,412.99,BRA
1989-01-01,中国,347.77,CHN
1989-01-01,澳大利亚,299.88,AUS
1989-01-01,印度,296.04,IND
1989-01-01,荷兰,258.72,NLD
1989-01-01,韩国,246.93,KOR
1989-01-01,墨西哥,221.4,MEX
1989-01-01,瑞典,217.63,SWE
1989-01-01,瑞士,208.11,CHE
1989-01-01,比利时,164.22,BEL
1989-01-01,伊朗,120.5,IRN
1989-01-01,土耳其,107.13,TUR
1989-01-01,沙特阿拉伯,95.34,SAU
1989-01-01,阿根廷,76.63,ARG
1990-01-01,美国,5963.14,USA
1990-01-01,日本,3185.9,JPN
1990-01-01,德国,1778.16,DEU
1990-01-01,法国,1257.65,FRA
1990-01-01,意大利,1183.95,ITA
1990-01-01,英国,1093.17,GBR
1990-01-01,加拿大,596.08,CAN
1990-01-01,西班牙,536.18,ESP
1990-01-01,俄罗斯,517.01,RUS
1990-01-01,巴西,464.99,BRA
1990-01-01,中国,360.86,CHN
1990-01-01,印度,320.98,IND
1990-01-01,荷兰,318.8,NLD
1990-01-01,澳大利亚,311.43,AUS
1990-01-01,韩国,283.37,KOR
1990-01-01,瑞士,265.76,CHE
1990-01-01,瑞典,261.47,SWE
1990-01-01,墨西哥,261.25,MEX
1990-01-01,比利时,205.33,BEL
1990-01-01,土耳其,150.66,TUR
1990-01-01,阿根廷,141.35,ARG
1990-01-01,伊朗,124.81,IRN
1990-01-01,沙特阿拉伯,117.63,SAU
1991-01-01,美国,6158.13,USA
1991-01-01,日本,3648.07,JPN
1991-01-01,德国,1875.79,DEU
1991-01-01,法国,1258.96,FRA
1991-01-01,意大利,1249.09,ITA
1991-01-01,英国,1142.8,GBR
1991-01-01,加拿大,612.53,CAN
1991-01-01,巴西,602.86,BRA
1991-01-01,西班牙,576.75,ESP
1991-01-01,俄罗斯,517.96,RUS
1991-01-01,中国,383.37,CHN
1991-01-01,韩国,330.65,KOR
1991-01-01,荷兰,327.98,NLD
1991-01-01,澳大利亚,325.98,AUS
1991-01-01,墨西哥,313.14,MEX
1991-01-01,瑞典,273.83,SWE
1991-01-01,印度,270.11,IND
1991-01-01,瑞士,268.9,CHE
1991-01-01,比利时,210.51,BEL
1991-01-01,阿根廷,189.72,ARG
1991-01-01,土耳其,151.03,TUR
1991-01-01,沙特阿拉伯,132.22,SAU
1991-01-01,伊朗,131.64,IRN
1992-01-01,美国,6520.33,USA
1992-01-01,日本,3980.7,JPN
1992-01-01,德国,2141.38,DEU
1992-01-01,法国,1389.66,FRA
1992-01-01,意大利,1323.2,ITA
1992-01-01,英国,1179.66,GBR
